read_id,n_framework_deviations,has_length_variant_region
2ee640f0-f744-4058-9b55-02e39ed93943,1,False
89acaa25-b147-4af5-a090-af4ccafe32ad,1,True
d2285598-4b14-452d-bec6-bd4968d0cfa7,1,True
c4ab5e4e-fcc7-45e6-9985-7b7cbdc29ff1,3,True
1def8f90-acaa-43de-a920-083a436fccba,0,True
0d83ff53-54ca-4ed5-92b2-31e2ac85e92a,3,False
db94aef3-2cb5-481d-8438-228f493881f7,1,True
6be34bbe-35ea-4793-9d2f-d830c850af5c,6,False
98f5fa16-f6f1-4d8f-ae84-cd66c5246a93,0,True
ce706796-3619-409e-9786-6cae4e9e6a62,2,False
8cd24b6b-828f-4b08-b92e-68ab0c33b744,5,False
3088f810-f659-499a-9000-497c7c5b7a80,6,False
72703f63-23aa-4c1f-a17d-46b236173375,1,True
abc561ab-8832-4c83-8e2a-9addba22d697,0,True
3d7a9e01-e6a0-4677-bac0-3325419c4865,0,True
bd8a6e56-52ca-495d-ba8a-04330c794877,0,True
c2f23537-2b20-4480-ae5d-e6b49767e07f,3,True
a4d9cbe0-a398-4adf-be14-bfea037705b4,0,True
0ff8b29f-eecb-4d62-b562-7031523168fe,0,True
1ab20c8e-c810-408b-9978-cdcdf7b34b40,0,True
8a8776c9-b6d3-4a24-83ec-1ae8cd812769,5,True
4302bb60-02fb-4ebb-aec7-40cab4ee8dca,1,True
e0b30190-940c-45c2-b1a9-33b627920ee1,2,True
09f0050f-efa3-4008-9127-872edddf7ff6,0,True
6cc2cc8a-ccc4-46f7-b078-634607c86da7,4,False
af08ef6b-d4d0-4029-b55e-4a1737fdfe66,3,False
2f788071-d4a3-4692-85c4-3cc5f31001e6,0,True
4f1269ad-a51c-4e17-a246-b750b006d8ee,0,True
1cb4f278-75f3-4b9a-92c2-5bbf292f6f36,2,False
f7196668-77cc-49ef-becf-be6ca564b8e5,1,False
30b869ec-1ce9-4e7a-adaa-5be7190f62ec,2,True
ffe5d9c1-9c51-4395-a7c6-613448cc6889,2,False
4af5b8d6-4493-4faa-a605-b0e51be00ac9,0,True
b3a5de3b-f545-43e5-9b5b-c1784d8a1b90,1,True
b61ac0ab-c9ff-4035-be2d-257a9517e0dd,0,True
d4533f4b-73d8-437f-b68a-86819156e451,1,True
d9168fbe-057c-438d-a384-f78daf67131b,1,True
0b2fc230-037f-414b-9312-36419d537b68,1,True
e651cde6-c874-4d7d-a0bd-11f696e79ad4,3,False
da268f4a-3b52-442d-9fa1-a22e15f2304c,4,True
40133d9a-fb17-44a1-8971-8f6c11b7921a,1,True
22c91a9c-3673-441b-b7af-24eb7fdd120e,0,True
4ae8bbd7-c6b3-4e75-b001-21840ccc2d1a,0,True
6415e2dd-6c3d-4472-af67-8092243d7edd,3,True
9b4461af-69f3-4ef2-946c-62a521856d90,0,True
71122f70-b025-44bd-986f-c1ccc4e319ae,2,False
ba2756ed-a420-4ec9-a011-016d94d17d73,1,True
3777d061-7606-4533-a28c-052eb743d246,1,False
df1fd320-879b-42b6-8e10-2cb2c09345ab,1,True
6f059977-2f91-4ce8-975a-b9b8e6119c30,1,True
b739a14b-c864-458f-9757-a57c147c7301,1,False
eb6ee7bb-bf91-4bae-a288-6df21327fdcd,2,True
2a12df35-774e-4892-b1a3-cd3dcb0f5705,1,True
0e97b990-b628-4e52-9a37-4bff0f553f12,1,True
40fc0588-dfa2-4d22-aee9-57682a289d7c,1,True
a9c68ebe-6ac8-421d-af9b-8a5154a9c8cd,0,True
1f0cfde1-7a08-4af0-8b39-d0f9f8ddb09c,5,True
0af47d63-b020-4b15-baae-687218dfba84,0,True
91835a78-4228-4ceb-9ba9-e04b6754e924,0,True
dc268f49-3e56-4992-987f-dcf3fae3414e,1,True
d19cd7bf-1aea-42e5-9942-1d5771660505,1,True
292e2df5-db7a-4db7-bec4-24aed2f9704b,3,False
912d1a7a-a62e-4fd8-ad5b-667ca2e9ffec,2,True
1d1f2f0e-baaf-4b4b-84ad-852eb24a773e,1,True
c3029255-ea2c-4da1-b8e3-0d2d21520939,0,True
fc2d2a3d-98b8-4238-ba1e-751f4a427b81,1,False
e841a82b-2a8d-4a0f-85a2-cf6d649647ec,2,True
bfa9d956-5867-4d88-9e32-750be44ebecb,1,True
329cb2c0-2287-42c5-8238-b1ebd912169e,1,True
db4dff6a-cbe5-435e-8cad-bd49ac4cbeab,0,True
17accfad-c8fa-4042-a56a-b49309d58e88,1,True
3487e187-e51b-4a59-8039-f916e99e2498,1,True
